Study,Measure,Ecosystem,Zone,Climate,Trophy,Approach,Control,Treatment,ES,,,,,,,
29,Cons,NA,NA,NA,NA,LE,1978.00,229.00,-0.94,,,,,,,
17,Cons,E,Cz,Temperate,NA,LE,441.00,22.50,-1.29,,,,,,,
17,Cons,E,Cz,Temperate,NA,LE,60.00,NA,NA,,,,,,,
17,CF,E,Cz,Temperate,NA,LE,134.00,49.50,-0.43,,,,,,,
40,CF,E,Cz,Temperate,Oligotrophic,M,46.20,8.80,-0.72,,,,,,,
40,CF,E,Cz,Temperate,Eutrophic,M,24.70,29.10,0.07,,,,,,,
40,CF,E,Cz,Temperate,Eutrophic,M,51.30,0.10,-2.71,,,,,,,
40,CF,E,Cz,Temperate,Oligotrophic,M,20.00,0.70,-1.46,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,92.00,3.00,-1.49,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,99.00,2.00,-1.69,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,90.00,10.00,-0.95,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,90.00,8.00,-1.05,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,96.00,5.00,-1.28,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,96.00,5.00,-1.28,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,77.00,22.00,-0.54,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,95.00,24.00,-0.60,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,69.00,51.00,-0.13,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,63.00,47.00,-0.13,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,70.00,39.00,-0.25,,,,,,,
82,CF,F,Pz,Temperate,Oligotrophic,FW,82.00,35.00,-0.37,,,,,,,
108,CF,F,NA,Temperate,Eutrophic,M,92.00,4.00,-1.36,,,,,,,
108,CF,F,NA,Temperate,Eutrophic,M,92.00,5.00,-1.26,,,,,,,
